cas,smile,odors
100-06-1,COc1ccc(cc1)C(C)=O,"anisé,aubépine,balsamique,cerfeuil,cerise,doux,fleur d'acacia,fruité,poudré,vanille"
100-09-4,COc1ccc(cc1)C(O)=O,animal
100-42-5,C=Cc1ccccc1,"amande,balsamique,essence,floral,plastique"
100-51-6,OCc1ccccc1,"amande,balsamique,cerise,chimique,doux,floral,fruité,phénolé,rose"
100-52-7,O=Cc1ccccc1,"amande,boisé,cerfeuil,cerise,doux,fruit à coque,fruité,huile,poudré,sucre brûlé"
100-53-8,SCc1ccccc1,"ail,café,chou,menthé,oignon,poireau,raifort,soufré,tomate,vert"
100-66-3,COc1ccccc1,"acétone,acrylate,anis,essence,éther,plastique"
100-68-5,CSc1ccccc1,"boisé,café,épicé,sciure,solvant"
100-71-0,CCc1ccccn1,herbe
100-86-7,CC(C)(O)Cc1ccccc1,"floral,huile,médicinal,narcisse,phénolé,rhubarbe,rose,vert"
10022-28-3,CCCCCCCC(OC)OC,"capucine,coriandre,fleur de troëne,floral,ozone,rose,vert,violette,zesté"
10024-56-3,CC1=CCC(CC1)C(C)(C)OC(=O)\C=C\c2ccccc2,"balsamique,épicé,fruité,noix de muscade,vin"
10024-57-4,CCCCCCCCCCCC(=O)Oc1ccc(C)cc1,"balsamique,cire d'abeille,doux,fruit à coque,gras,huile,vanille"
10024-64-3,CCCCCCCC(=O)OC(C)(CCC=C(C)C)C=C,"baie,doux,herbe,vert"
1003-04-9,O=C1CCSC1,"ail,alliacé,beurre,café,ciboulette,cuit,légume,oignon,palourde,vert"
1003-10-7,O=C1CCCS1,"ail,brûlé,chimique"
1003-29-8,O=Cc1[nH]ccc1,café
10031-71-7,CC(C)C(=O)OC(C)(C)CCc1ccccc1,"doux,floral,fruité,miel,papaye,poudré,vert"
10031-82-0,CCOc1ccc(C=O)cc1,"anisé,épicé,floral"
10031-86-4,CCCC(=O)OC(CC)c1ccccc1,"abricot,floral,jasmin,prune"
10031-87-5,CCC(CC)COC(C)=O,"agrume,banane,doux,fruité,huile,moisi,pêche,solvant,terre"
10031-90-0,CCOC(=O)CCc1occc1,"acrylate,ananas,balsamique,confiture,cuit,doux,épicé,fruité,raifort,rhum"
10031-92-2,CCCCCCC#CC(=O)OCC,"concombre,floral,vert"
10031-93-3,CCOC(=O)CCCc1ccccc1,"fruité,prune"
10032-00-5,CC(=O)CC(=O)OC\C=C(C)\CCC=C(C)C,"fermentaire,fruité,pomme,vin"
10032-02-7,CCCCCC(=O)OC/C=C(C)/CCC=C(C)C,"agrume,cire d'abeille,floral,fruité,géranium,rose,vert"
10032-05-0,CCCCCCC(OC)OC,"cire d'abeille,fleur de troëne,fruité,gras,huile,orange,vert"
10032-08-3,CCCCCCCOC(=O)/C=C/c1ccccc1,jacinthe
10032-11-8,CC\C=C/CCOC(=O)CC(C)C,"fromage,fruité,pomme,pomme verte"
10032-13-0,CCCCCCOC(=O)CC(C)C,"cire d'abeille,doux,frais,fraise,fruité,poire,pomme,vert"
10032-15-2,CCCCCCOC(=O)C(C)CC,"banane,boisé,cire d'abeille,épicé,frais,fruité,pomme,vert"
10039-39-1,CCCCCCC1CC(CO1)OC(C)=O,"abricot,doux,floral,fruité,pêche"
10058-43-2,CC(C)(Cc1ccccc1)OC=O,"jasmin,lys,vert"
1006-27-5,COC1CCc2ccccc12,"animal,anisé,aubépine,menthé,terre"
10072-05-6,COC(=O)c1ccccc1N(C)C,orange
1009-62-7,CC(C)(Cc1ccccc1)C=O,marin
